					Normalized Odds Ratio	Libraries (out of 6)	Normalized Odds Ratio	Libraries (out of 3)	Normalized Odds Ratio	Libraries (out of 3)
frdA	purA	CDS	CDS	-6.83					0.6	U
gatC	sdsR	CDS	sRNA	-7.34			0.6	1		
gcvH	spf	CDS	sRNA	-8.14	0.5	1				
dnaE	cyaR	CDS	sRNA	-6.37			0.5	U		
lpp	cpxP.3UTR	CDS	3UTR	-10.37	0.5	2	0.3	3	0.2	2
aldA	micA	CDS	sRNA	-2.57			0.4	2	0.5	U
yigA	arcZ	CDS	sRNA	-9.44			0.5	1	0.3	U
hns	ryhB	CDS	sRNA	-8.23					0.5	3
ompF	insH-2.ybcQ.IGR	CDS	IGR	-3.48	0.5	U				
cydX	micF	CDS	sRNA	-8.7			0.5	3		
yieE	spf	CDS	sRNA	-8.56	0.5	U				
pyrG	uhpT	CDS	CDS	-9.94	0.5	U				
entD.fepA.IGT	micA	IGT	sRNA	-12.76					0.5	3
yobF	cyaR	CDS	sRNA	-11.91			0.5	3		
glpA	cpxP.3UTR	CDS	3UTR	-5.53			0.5	U		
mgrR	gcvB	sRNA	sRNA	-5.37			0.5	1		
evgA	cpxP.3UTR	CDS	3UTR	-1.18			0.5	U		
rplL	sdsR	CDS	sRNA	-9.86			0.5	1		
ydcV	cyaR	CDS	sRNA	-10.5			0.5	U		
secM	ryhB	CDS	sRNA	-8.08					0.5	U
gatZ	mgrR	CDS	sRNA	-8.85	0.2	U	0.5	2		
glpK	rprA	CDS	sRNA	-11.39			0.5	1		
treC.treB.IGT	mcaS	IGT	sRNA	-8.13	0.4	U			0.5	2
tpx	arcZ	CDS	sRNA	-4.37			0.5	2	0.4	2
recA	cyaR	CDS	sRNA	-14.5	0.3	U	0.5	1	0.4	1
gatD	cyaR	CDS	sRNA	-10.63			0.5	2	0.3	1
ahpF	slyB	CDS	CDS	-9.55					0.5	U
sdhA	micA	CDS	sRNA	-4.58			0.5	U		
sucB	fnrS	CDS	sRNA	-10.11	0.5	1				
mepS	cyaR	CDS	sRNA	-8.2					0.5	U
ftsZ	cyaR	CDS	sRNA	-14.17	0.4	U			0.5	1
fliC	ybiJ.ybiC.IGR	CDS	IGR	-6.91					0.5	U
nmpC	omrB	CDS	sRNA	-9.75	0.5	1			0.5	2
dicA	gcvB	CDS	sRNA	-8.82					0.5	1
cydA	rplA.rplJ.IGT	CDS	IGT	-10.21			0.5	U		
ompA	dicF	CDS	sRNA	-6.1					0.5	U
gatB	oxyS	CDS	sRNA	-8.38					0.5	U
thrS	arcZ	CDS	sRNA	-5.21			0.5	2	0.2	1
accD	ryhB	CDS	sRNA	-8.27					0.5	2
gpsA	spf	CDS	sRNA	-9.32					0.5	1
flgL	uhpT.EST3UTR	CDS	3UTR	-4.05					0.5	U
nagB	omrB	CDS	sRNA	-5.44					0.5	1
aspA	malG.3UTR	CDS	3UTR	-8.99					0.5	U
talB	arcZ	CDS	sRNA	-5.04			0.5	U		
fecA	rpsU	CDS	CDS	-11.52					0.5	1
yigZ	ryhB	CDS	sRNA	-11.33					0.5	U
flhE	arcZ	CDS	sRNA	-7.61					0.5	1
cpxP	sdsR	CDS	sRNA	-3.3			0.5	2		
yeeX	ryhB	CDS	sRNA	-8.26					0.5	3
umpG	cyaR	CDS	sRNA	-8.47					0.5	U
gltA	spf	CDS	sRNA	-10.83	0.2	U			0.5	1
flhB	cyaR	CDS	sRNA	-10.04					0.5	U
mltD	rprA	CDS	sRNA	-8.49			0.5	U		
ecnB	cyaR	CDS	sRNA	-6.93			0.5	3		
flgM	flhC	CDS	CDS	-11.73	0.5	U				
hybO	mgrR	CDS	sRNA	-7.21	0.5	2				
malG	ompC	CDS	CDS	-10.45	0.2	1			0.5	2
skp	malG.3UTR	CDS	3UTR	-7.25					0.5	U
sucB.sucC.IGT	gcvB	IGT	sRNA	-4.49	0.3	4	0.4	U	0.5	1
nanA	spf	CDS	sRNA	-6.15	0.2	1			0.5	2
aspA	arcZ	CDS	sRNA	-15.56	0.3	6	0.5	3	0.3	3
luxS	arcZ	CDS	sRNA	-3.85					0.5	U
grcA	sucD.EST3UTR	CDS	3UTR	-3.9			0.5	2		
minD	arcZ	CDS	sRNA	-4.22			0.5	U	0.5	U
aceA	sdsR	CDS	sRNA	-5.05			0.5	2		
gatZ	arcZ	CDS	sRNA	-6.72			0.5	2	0.3	1
dps	flgL.EST3UTR	CDS	3UTR	-3.87			0.5	1		
pykA	arcZ	CDS	sRNA	-9.51			0.5	1	0.3	U
gatA	micA	CDS	sRNA	-11.87			0.5	2		
sucA	ryhB	CDS	sRNA	-5.41					0.5	U
ompC	micA	CDS	sRNA	-4.01			0.5	2		
ecnB	cpxP.3UTR	CDS	3UTR	-2.89			0.5	2		
aceK	ydgA	CDS	CDS	-8.78			0.5	1		
fecA	fecI	CDS	CDS	-9.37					0.5	3
allR	cpxP	CDS	CDS	-10.58			0.5	U		
yhfA	cyaR	CDS	sRNA	-7.53					0.5	U
ecnB	micA	CDS	sRNA	-6.86			0.5	3		
dcuA	ryjB.sgcQ.IGR	CDS	IGR	-4.69	0.2	U	0.5	2		
osmY	arcZ	CDS	sRNA	-6.35			0.5	1		
gatY	gcvB	CDS	sRNA	-7.92	0.2	6	0.2	3	0.5	3
ryeA	arcZ	other-ncRNA	sRNA	-9.46			0.5	2	0.4	3
aceB	mgrR	CDS	sRNA	-9.38			0.5	2		
lspA	cyaR	CDS	sRNA	-5.13					0.5	1
tdcC	cyaR	CDS	sRNA	-11.27					0.5	U
adhE	mgrR	CDS	sRNA	-8.11	0.3	U			0.5	1
fur	mcaS	CDS	sRNA	-6.94					0.5	2
raiA	ydfK	CDS	CDS	-8.65			0.5	U		
yjbR	mgrR	CDS	sRNA	-6.74			0.5	1		
sraB	ryhB	other-ncRNA	sRNA	-9.02					0.5	U
purA	ryhB	CDS	sRNA	-13.13					0.5	2
agp	cpxP.3UTR	CDS	3UTR	-8.55			0.5	U		
gdhA	lpp.EST3UTR	CDS	3UTR	-3.03					0.5	1
ygfB	mgrR	CDS	sRNA	-9.37					0.5	U
map	gcvB	CDS	sRNA	-10.7	0.4	U			0.3	1
lpp	cyaR	CDS	sRNA	-8.45	0.1	6	0.4	3	0.2	3
rpsF	arcZ	CDS	sRNA	-9.32					0.4	1
ompC	glmZ.hemY.IGR	CDS	IGR	-9.79	0.1	U	0.4	1		
galK	spf	CDS	sRNA	-10.74	0.4	U				
bax	arcZ	CDS	sRNA	-2.03					0.4	U
fliC	arcZ	CDS	sRNA	-5.53					0.4	2
yhcB	arcZ	CDS	sRNA	-4.92			0.4	U		
hpt	ryhB	CDS	sRNA	-9.22					0.4	1
glpK	glpX.3UTR	CDS	3UTR	-8.26	0.4	U	0.4	U	0.4	1
yoaB	gcvB	CDS	sRNA	-6.78					0.4	1
malE	ryhB	CDS	sRNA	-7.99					0.4	1
leuS	cyaR	CDS	sRNA	-11.3			0.4	U		
ysaA	fnrS	CDS	sRNA	-11.62	0.4	U				
ybeD	cyaR	CDS	sRNA	-17.18					0.4	1
sucB.sucC.IGT	spf	IGT	sRNA	-13.31			0.4	1	0.3	1
pntB	spf	CDS	sRNA	-11.01	0.4	U			0.2	1
flgM	spf	CDS	sRNA	-6.87	0.4	3			0.3	1
fepA	raiA	CDS	CDS	-5.12					0.4	2
dksA	ryhB	CDS	sRNA	-7.09					0.4	2
raiA	tdcA	CDS	CDS	-15.48	0.2	1			0.4	U
gatZ	ryhB	CDS	sRNA	-8.17					0.4	3
argX	mgrR	tRNA	sRNA	-5.33	0.2	4			0.4	3
gadE.mdtE.IGT (gadF)	sodB	IGT	CDS	-2.43			0.4	U		
ptsI	micA	CDS	sRNA	-14.11	0.1	U	0.4	U		
ompX	gcvB	CDS	sRNA	-1.77					0.4	1
rpsO	ryhB	CDS	sRNA	-4.66					0.4	3
purA	arcZ	CDS	sRNA	-8.05			0.4	1	0.3	1
ybfA	fnrS	CDS	sRNA	-5.78	0.4	U				
glpF	gcvB	CDS	sRNA	-4.24					0.4	2
ompF	omrB	CDS	sRNA	-12.5					0.4	U
rmf	malG.3UTR	CDS	3UTR	-10.78			0.4	3		
greA	cyaR	CDS	sRNA	-5.83			0.4	U		
rpsT	gcvB	CDS	sRNA	-10.59	0.2	1			0.4	1
gcvP	cyaR	CDS	sRNA	0.02			0.4	1		
yrbN	sucD.EST3UTR	CDS	3UTR	-8.62			0.4	2	0.4	1
malP	sstT	CDS	CDS	-4.81					0.4	1
gadE.mdtE.IGT (gadF)	ompC	IGT	CDS	-10.97			0.4	1		
fliC	uhpT	CDS	CDS	-6.87	0.2	1			0.4	2
lexA	cpxP.3UTR	CDS	3UTR	-12.3			0.4	U		
raiA	fliC.fliA.IGR	CDS	IGR	-11.53	0.2	4	0.4	U	0.2	1
pheL	gcvB	CDS	sRNA	-4.13	0.4	U			0.4	1
sufE	arcZ	CDS	sRNA	-4.29					0.4	U
queE.ygcE.IGR	sdsR	IGR	sRNA	-9.96			0.4	U		
minE	ryhB	CDS	sRNA	-7.65					0.4	2
aceF.lpd.IGT	nanT.nanA.IGT	IGT	IGT	-8.2					0.4	1
rpoB	arcZ	CDS	sRNA	-4.78			0.4	U		
hisQ.hisJ.IGT	cyaR	IGT	sRNA	-4.39			0.4	U		
rplN	dicF	CDS	sRNA	-4.62					0.4	1
gadC.gadB.IGT	sdsR	IGT	sRNA	-9.45			0.4	U		
flgD	dicF	CDS	sRNA	-7.85					0.4	1
cysK.ptsH.IGR	sucD.EST3UTR	IGR	3UTR	-11.97			0.4	U		
tnaC	arcZ	CDS	sRNA	-12.78	0.1	U			0.4	3
gatB.gatA.IGT	ompC	IGT	CDS	-5.51			0.4	U		
raiA	gcvB	CDS	sRNA	-11.72	0.4	6	0.1	1	0.3	3
elaB	cpxP.3UTR	CDS	3UTR	-10.36			0.4	1		
rcsB.EST3UTR	fnrS	3UTR	sRNA	-8.98	0.4	1				
aceB	malG.3UTR	CDS	3UTR	-9.95			0.4	U		
rplC	fliC.fliA.IGR	CDS	IGR	-7.46	0.4	3			0.3	3
ftsQ	ryhB	CDS	sRNA	-11.96					0.4	U
hybC	mgrR	CDS	sRNA	-12	0.4	U				
ymdF	cyaR	CDS	sRNA	-8.15			0.4	1		
galU	ryhB	CDS	sRNA	-12.19					0.4	U
pnp	uhpT	CDS	CDS	-9.11	0.4	U				
tusE	ryhB	CDS	sRNA	-10.18					0.4	U
fliP	cyaR	CDS	sRNA	-4.9					0.4	1
yfgD	ryhB	CDS	sRNA	-11.44					0.4	1
glpB	cyaR	CDS	sRNA	-10.48	0.1	U			0.4	U
dapD	uhpT.EST3UTR	CDS	3UTR	-5.94					0.4	U
crl	cyaR	CDS	sRNA	-5.87			0.4	U		
clpA	ryhB	CDS	sRNA	-8.9					0.4	U
dctA	raiA	CDS	CDS	-5.98			0.4	U		
damX.aroB.IGT	cyaR	IGT	sRNA	-4.23					0.4	U
thrS	cyaR	CDS	sRNA	-6.47			0.4	2		
flgM	motA	CDS	CDS	-10.34					0.4	U
dbpA	ryfD	CDS	other-ncRNA	-2.79			0.4	U		
yqjC.yqjD.IGT	sucD.EST3UTR	IGT	3UTR	-11.36			0.4	1		
rplT	dicF	CDS	sRNA	-5.01					0.4	1
csrA	uhpT.EST3UTR	CDS	3UTR	-6.1					0.4	1
glnA.3UTR	yeeA.EST3UTR	3UTR	3UTR	-5.69	0.4	U				
rpsQ	fliC.fliA.IGR	CDS	IGR	-11.63	0.4	6			0.2	3
ccmC	cyaR	CDS	sRNA	-12.92	0.4	U				
ompW	cyaR	CDS	sRNA	-9.34			0.4	2		
ssb	cyaR	CDS	sRNA	-8.8	0.4	1			0.3	1
ydfG	ryhB	CDS	sRNA	-10.06					0.4	1
flhE.yecT.IGR	cyaR	IGR	sRNA	-13.08					0.4	U
argQ.yqaB.IGR	arcZ	IGR	sRNA	-9.56	0.2	1			0.4	U
aspA	sucD.EST3UTR	CDS	3UTR	-4.46			0.4	1		
dps	cpxP.3UTR	CDS	3UTR	-10.31			0.4	1		
rodZ	arcZ	CDS	sRNA	-9.27			0.4	U		
alaV.rrlH.IGT	nanA	IGT	CDS	-6.48					0.4	1
dppA	hdeA	CDS	CDS	-5.91			0.4	U		
sthA	arcZ	CDS	sRNA	-5.76			0.3	U		
slyA	ryhB	CDS	sRNA	-10.44					0.3	2
fecA	ryhB	CDS	sRNA	-8.04					0.3	1
trxA	arcZ	CDS	sRNA	-3.86			0.3	1		
lysT	chiX	tRNA	sRNA	-5.26			0.3	2		
clpP	arcZ	CDS	sRNA	-5.53					0.3	U
tnaA.tnaB.IGT	spf	IGT	sRNA	-6.46			0.3	1	0.1	2
fabI	fnrS	CDS	sRNA	-6.87	0.3	U				
icd	micA	CDS	sRNA	-3.64			0.3	U		
csgC.EST3UTR	spf	3UTR	sRNA	-10.62					0.3	U
hflK	arcZ	CDS	sRNA	-4.96					0.3	1
fumA	cyaR	CDS	sRNA	-12.28			0.3	1		
hdhA	cyaR	CDS	sRNA	-5.69			0.3	U		
uhpT	zipA	CDS	CDS	-7.63					0.3	U
pfkA	cyaR	CDS	sRNA	-15.26	0.1	U			0.3	U
dmsA	agrA	CDS	other-ncRNA	-6.39					0.3	U
ppc	ryhB	CDS	sRNA	-7.36					0.3	U
fliA	arcZ	CDS	sRNA	-8.55					0.3	U
dps	arcZ	CDS	sRNA	-8.68			0.3	2		
lipA	gcvB	CDS	sRNA	-6.97	0.3	U			0.3	1
entD.fepA.IGT	fliC.fliA.IGR	IGT	IGR	-11.78					0.3	U
mepS	ryhB	CDS	sRNA	-8.34					0.3	U
trxA	sdsR	CDS	sRNA	-6.42			0.3	U		
rpsG	dicF	CDS	sRNA	-3.98	0.3	U				
nanK	gcvB	CDS	sRNA	-6.98	0.3	1				
leuZ.yecA.IGR	clpB.rrsG.IGR	IGR	IGR	-2.49	0.3	U				
flgN	uhpT	CDS	CDS	-7.63	0.3	U				
osmC	arcZ	CDS	sRNA	-5.42			0.3	1		
ompT	glnA.3UTR	CDS	3UTR	-6.67					0.3	1
deoB	omrA	CDS	sRNA	-9.24					0.3	U
clpB	cyaR	CDS	sRNA	-7.31			0.3	U		
atpC	cpxP.3UTR	CDS	3UTR	-11.41			0.3	1		
aceF.lpd.IGT	spf	IGT	sRNA	-8.35					0.3	1
arcA	sdsR	CDS	sRNA	-10.29			0.3	U		
yihX	fnrS	CDS	sRNA	-7.91	0.3	U				
clpX	cpxP.3UTR	CDS	3UTR	-4.06			0.3	1		
fliT.3UTR	spf	3UTR	sRNA	-12.78	0.3	1			0.3	1
bfr	omrA	CDS	sRNA	-10.81			0.3	U		
ygfZ	ryhB	CDS	sRNA	-9.27					0.3	U
argQ.argZ.IGT	arcZ	IGT	sRNA	-8.61	0.2	2			0.3	1
ybaB	ryhB	CDS	sRNA	-13.76					0.3	1
yidF	gcvB	CDS	sRNA	-4.95	0.3	U				
nanA	gcvB	CDS	sRNA	-5.89					0.3	1
rseA.rpoE.IGT	micF	IGT	sRNA	-13.56			0.3	U		
dnaK	cyaR	CDS	sRNA	-9.65			0.3	U		
cheZ	mgrR	CDS	sRNA	-10.26					0.3	U
glpX.glpK.IGT	glpX.3UTR	IGT	3UTR	-7.33			0.2	2	0.3	U
flgN	gcvB	CDS	sRNA	-4.96	0.1	U			0.3	U
fdnG	fnrS	CDS	sRNA	-8.06	0.3	2				
rpsA	omrB	CDS	sRNA	-7.86			0.3	U	0.2	U
nanA	cyaR	CDS	sRNA	-8.52					0.3	1
lptC	spf	CDS	sRNA	-11.36					0.3	U
flgC	uhpT	CDS	CDS	-3.86	0.3	U				
yjbJ	hokE.ybdK.IGR	CDS	IGR	-4.51			0.3	3		
malE	gcvB	CDS	sRNA	-14.99					0.3	2
dadX	cpxP.3UTR	CDS	3UTR	-9.31			0.3	U		
infC	glmZ.hemY.IGR	CDS	IGR	-11.71			0.3	U		
ymcE	mgrR	CDS	sRNA	-7.08					0.3	1
ygiW	arcZ	CDS	sRNA	-6.53			0.3	1		
glpX	glpX.3UTR	CDS	3UTR	-2.89	0.3	U				
rybA	micA	other-ncRNA	sRNA	-3.03			0.3	1		
rmf	ybiJ.ybiC.IGR	CDS	IGR	-8.79			0.3	3		
pmrD	gcvB	CDS	sRNA	-7.96					0.3	1
lexA	mcaS	CDS	sRNA	-4.63					0.3	1
rmf	ruvA	CDS	CDS	-9.7			0.3	1		
fliC	ryhB	CDS	sRNA	-6.51					0.3	1
gadC	cpxP.3UTR	CDS	3UTR	-9.99			0.3	2		
dcyD	ompC	CDS	CDS	-10.97					0.3	U
aceK	fur	CDS	CDS	-3.59			0.3	1		
flgN	ryhB	CDS	sRNA	-11.72					0.3	2
rplU	ryhB	CDS	sRNA	-6.08					0.3	3
relB	cyaR	CDS	sRNA	-4.07			0.3	U		
gatA	cpxP.3UTR	CDS	3UTR	-8.08					0.3	1
ybaL	cyaR	CDS	sRNA	-8.08			0.3	U		
ompF	mcaS	CDS	sRNA	-3.38	0.3	U				
bamC	cyaR	CDS	sRNA	-10.92	0.2	U			0.3	U
glpD	fnrS	CDS	sRNA	-5.79	0.3	1				
mokB	cpxP.3UTR	CDS	3UTR	-5.9			0.3	U		
fecA	gcvB	CDS	sRNA	-5.06					0.3	3
yhiD	cpxP.3UTR	CDS	3UTR	-4.15			0.3	U		
cydB	motA	CDS	CDS	-8.12					0.3	U
glpX.glpK.IGT	uhpT	IGT	CDS	-13.04	0.1	U			0.3	2
gpmM	cyaR	CDS	sRNA	-7	0.3	1				
rpsQ	oxyS	CDS	sRNA	-4.48					0.3	1
thrU	uhpT.EST3UTR	tRNA	3UTR	-14.57	0.3	6	0.0	1	0.1	3
crr	sdsR	CDS	sRNA	-8.02			0.3	1		
rpsP	fliC.fliA.IGR	CDS	IGR	-8.32	0.3	2				
sucD	tolC	CDS	CDS	-7.01			0.3	U		
ptsI	mgrR	CDS	sRNA	-7	0.3	1			0.2	1
hupB	talB	CDS	CDS	-13.28	0.3	U			0.2	2
yceD	omrB	CDS	sRNA	-8.18					0.3	1
raiA	rhoL	CDS	CDS	-8.04	0.0	U	0.3	3	0.1	1
hdeA	cyaR	CDS	sRNA	-8.8			0.3	U		
flgM	uhpT.EST3UTR	CDS	3UTR	-8.55					0.3	U
wzzB	spf	CDS	sRNA	-11.52	0.2	U			0.2	1
znuC	cyaR	CDS	sRNA	-7.69			0.2	U		
aceK	yccJ	CDS	CDS	-7.9			0.2	U		
luxS	cyaR	CDS	sRNA	-7.84			0.2	U		
amyA	fliD	CDS	CDS	-12.96					0.2	U
lpp	mgrR	CDS	sRNA	-8.18			0.2	2	0.1	2
dksA.sfsA.IGT	ryhB	IGT	sRNA	-5.1					0.2	U
mnmA	sucD	CDS	CDS	-6.68			0.2	U		
fusA.rpsG.IGT	uhpT.EST3UTR	IGT	3UTR	-8.85					0.2	U
rpsK	cyaR	CDS	sRNA	-11.04	0.1	4	0.2	2	0.2	3
rplY	uhpT	CDS	CDS	-6.03					0.2	U
aceA.aceK.IGT	glgS	IGT	CDS	-7.2			0.2	U		
tktA	spf	CDS	sRNA	-7.69					0.2	U
rpoC	spf	CDS	sRNA	-5.95					0.2	1
aceA	cpxP.3UTR	CDS	3UTR	-2.18			0.2	U		
frdA	nrfA	CDS	CDS	-9.91	0.2	1				
garD	gcvB	CDS	sRNA	-5.73	0.2	U				
thrS	cpxP.3UTR	CDS	3UTR	-12.15			0.2	1		
fdoG	sucD	CDS	CDS	-8.65			0.2	U		
cysE	spf	CDS	sRNA	-10.95	0.2	U				
uspA	spf	CDS	sRNA	-8.95	0.2	U			0.1	1
fbaA.pgk.IGT	narK.narG.IGR	IGT	IGR	-18.6					0.2	2
fliD	fliF	CDS	CDS	-15.23					0.2	U
rpmG	uhpT.EST3UTR	CDS	3UTR	-5.7	0.1	U			0.2	2
dps.EST3UTR	spf	3UTR	sRNA	-4.94			0.2	U		
raiA	uhpT.EST3UTR	CDS	3UTR	-5.6	0.2	1				
ompC	glmZ	CDS	sRNA	-13.58	0.2	U			0.2	1
ompC	uhpT.EST3UTR	CDS	3UTR	-6.95					0.2	3
argQ	chiX	tRNA	sRNA	-4.74			0.2	2		
fecA	fecR	CDS	CDS	-8.54					0.2	U
ppiD	mcaS	CDS	sRNA	-9.29	0.1	U			0.2	1
fliC	cyaR	CDS	sRNA	-10.9	0.1	U	0.1	1	0.2	2
frdD	cyaR	CDS	sRNA	-6.88	0.2	1	0.2	U		
hdeA	sdsR	CDS	sRNA	-7.66			0.2	U		
gcvB.ygdI.IGR	uhpT.EST3UTR	IGR	3UTR	-5.55	0.2	U				
hybB	cyaR	CDS	sRNA	-5.51	0.2	U				
cheY	ryhB	CDS	sRNA	-11.48					0.2	U
glpQ	cpxP.3UTR	CDS	3UTR	-11.57			0.2	U		
pepQ	gcvB	CDS	sRNA	-13.96					0.2	U
ychH	cyaR	CDS	sRNA	-12.65			0.2	2	0.2	U
rmf	uhpT	CDS	CDS	-7.78			0.2	U		
pflB	omrB	CDS	sRNA	-8.28					0.2	3
fliC	ykgH.EST3UTR	CDS	3UTR	-4.76	0.1	1			0.2	1
ompA	arcZ	CDS	sRNA	-4.12			0.2	2		
tnaC.tnaA.IGT	uhpT.EST3UTR	IGT	3UTR	-6.97	0.2	2				
glpC	spf	CDS	sRNA	-11.13	0.2	U				
ftsB	gcvB	CDS	sRNA	-11.33					0.2	U
lpp	yicJ.selC.IGR	CDS	IGR	-8.54					0.2	U
rmf	gcvB	CDS	sRNA	-7.45	0.2	1	0.1	3	0.2	1
cyaA	spf	CDS	sRNA	-5.95					0.2	1
gpmA	ryhB	CDS	sRNA	-5.46					0.2	U
flgB	uhpT	CDS	CDS	-4.33					0.2	U
mepS	rpmI.infC.IGT	CDS	IGT	-7.74					0.2	U
ompC	ompF	CDS	CDS	-12.58	0.0	1			0.2	3
rmf	dicF	CDS	sRNA	-6.35			0.2	2		
cspE	sodB	CDS	CDS	-2.7	0.2	U				
fliC	omrB	CDS	sRNA	-9.07					0.2	1
fliC	ryjB	CDS	other-ncRNA	-3.96					0.2	U
dps	raiA	CDS	CDS	-4.54			0.2	3		
aceK	C0614.sseA.IGR	CDS	IGR	-8.85			0.2	U		
soxS	gcvB	CDS	sRNA	-3.74					0.2	U
cspG	fnrS	CDS	sRNA	-9.21					0.2	U
rmf	arcZ	CDS	sRNA	-9.49			0.2	2		
aceF.lpd.IGT	cyaR	IGT	sRNA	-9.63			0.2	2		
grcA	spf	CDS	sRNA	-6.19	0.1	1			0.2	1
aceK	clpB.rrsG.IGR	CDS	IGR	-9.67			0.2	1	0.1	1
glpD.yzgL.IGR	sdsR	IGR	sRNA	-8.33			0.2	1		
fliL	gcvB	CDS	sRNA	-8.5					0.2	1
motA	rpsR	CDS	CDS	-10.44	0.2	U				
malE	raiA	CDS	CDS	-12.44	0.2	U				
aspA	narK.narG.IGR	CDS	IGR	-1.52	0.2	U				
lpd	ryhB	CDS	sRNA	-9.13					0.2	1
tnaC.tnaA.IGT	mgrR	IGT	sRNA	-8.24	0.2	U				
fusA.rpsG.IGT	uhpT	IGT	CDS	-2.67	0.2	U				
asnT	chiX	tRNA	sRNA	-9.5			0.1	2	0.2	2
recA	gcvB	CDS	sRNA	-11.41			0.1	U	0.2	1
cpxP	dps	CDS	CDS	-11.49			0.2	1		
aceK	ryjB.sgcQ.IGR	CDS	IGR	-3.94			0.2	3		
tdcC.tdcB.IGT	spf	IGT	sRNA	-8.59	0.2	U				
hchA	raiA	CDS	CDS	-12.16			0.2	1		
cdd	cyaR	CDS	sRNA	-4.06	0.2	U				
tp2.aceE.IGR	sucD.EST3UTR	IGR	3UTR	-5.45			0.1	U		
sroC	lpp.EST3UTR	other-ncRNA	3UTR	-9.54	0.1	2	0.1	3	0.1	3
glpF	cyaR	CDS	sRNA	-9.61			0.1	1		
raiA	cyaR	CDS	sRNA	-6.75			0.1	1		
ompC	omrB	CDS	sRNA	-5.6					0.1	U
ccmA	mgrR	CDS	sRNA	-6.21	0.1	U				
flgJ	flgK	CDS	CDS	-9.38					0.1	U
fhuF	spf	CDS	sRNA	-8.52					0.1	1
rpmD	arcZ	CDS	sRNA	-4.77					0.1	2
rpsU	cyaR	CDS	sRNA	-6.68					0.1	1
gpmM	gcvB	CDS	sRNA	-5.06	0.1	U				
aspA	mgrR	CDS	sRNA	-11.29	0.1	2	0.1	1	0.1	1
tnaA	fnrS	CDS	sRNA	-10.84			0.1	U	0.1	1
ompA	gcvB	CDS	sRNA	-6.48					0.1	1
yceD	ryeA	CDS	other-ncRNA	-13.87			0.1	U		
cspB	uhpT.EST3UTR	CDS	3UTR	-6.84					0.1	2
talB	cyaR	CDS	sRNA	-9.51					0.1	1
rpoH	micA	CDS	sRNA	-4.73			0.1	U		
tpx	gcvB	CDS	sRNA	-4.91					0.1	1
pflB	yncE	CDS	CDS	-12.91					0.1	U
ompW	raiA	CDS	CDS	-11.62			0.1	U		
adk	gcvB	CDS	sRNA	-8.02					0.1	1
groS.groL.IGT	glnA.3UTR	IGT	3UTR	-5.46					0.1	1
secG	cyaR	CDS	sRNA	-8.84	0.0	U	0.1	1	0.1	1
thrU	uhpT	tRNA	CDS	-10.56	0.1	2				
tnaA.tnaB.IGT	omrB	IGT	sRNA	-6.96					0.1	U
lpp	rpoD.3UTR	CDS	3UTR	-5.88					0.1	U
aceK	glpQ	CDS	CDS	-8.85			0.1	1		
tp2.aceE.IGR	glnA.3UTR	IGR	3UTR	-6.52					0.1	2
rraA	cyaR	CDS	sRNA	-5.05	0.1	U				
hypA	fnrS	CDS	sRNA	-6.84	0.1	U				
tpx	ryhB	CDS	sRNA	-6.48					0.1	1
glpD.yzgL.IGR	arcZ	IGR	sRNA	-13.02					0.1	2
rpsG	uhpT	CDS	CDS	-5.7	0.1	1				
fusA	arcZ	CDS	sRNA	-5.65			0.1	2	0.1	2
raiA	sucA	CDS	CDS	-7.22			0.1	U		
rpoH	mgrR	CDS	sRNA	-10.2					0.1	U
glpQ	ryhB	CDS	sRNA	-4.26					0.1	2
lpxC	raiA	CDS	CDS	-10.78			0.1	2		
rbsD	rpsB	CDS	CDS	-6.91					0.1	1
rmf	cpxP.3UTR	CDS	3UTR	-14.48			0.1	3		
cspF.cspB.IGR	fnrS	IGR	sRNA	-8.89	0.1	1				
gadB	raiA	CDS	CDS	-9.05			0.1	1		
aceK	gatY	CDS	CDS	-9.75			0.1	2		
asnT	ptsG	tRNA	CDS	-4.85					0.1	1
cheY	raiA	CDS	CDS	-11.36	0.0	U			0.1	2
raiA	yibT	CDS	CDS	-9.16			0.1	1		
tufB	micA	CDS	sRNA	-8.72					0.1	1
ryeA.yebY.IGR	cyaR	IGR	sRNA	-5.84			0.1	U		
srlA	tyrV	CDS	tRNA	-6.59	0.1	1				
raiA	ryeA	CDS	other-ncRNA	-7.42			0.1	1		
rmf	sdsR	CDS	sRNA	-8.24			0.1	3		
cheB	raiA	CDS	CDS	-12.49	0.1	U				
cspA	omrB	CDS	sRNA	-7.61					0.1	U
allR	bssR	CDS	CDS	-9.65			0.1	2		
aceB	glpF	CDS	CDS	-12.26			0.1	U		
gapA.yeaD.IGT	spf	IGT	sRNA	-7.32					0.1	1
rpmE	cyaR	CDS	sRNA	-9.62					0.1	1
crr	raiA	CDS	CDS	-4.28			0.1	U		
aceK	ryjB	CDS	other-ncRNA	-7.19			0.1	2		
nlpI	cspA.3UTR	CDS	3UTR	-9.72					0.1	U
ompF	tnaC.tnaA.IGT	CDS	IGT	-6.06	0.1	U				
lpp	raiA	CDS	CDS	-7.16			0.1	1		
bssR	rprA	CDS	sRNA	-8.56			0.1	U		
malM	rmf	CDS	CDS	-12.78			0.1	2		
glpD	glpD.yzgL.IGR	CDS	IGR	-8.54					0.1	1
